,year,Birth_Rate,Growth_Rate
0,2024,16.750,-1.170%
1,2023,16.949,-1.250%
2,2022,17.163,-1.230%
3,2021,17.377,-1.220%
4,2020,17.592,-1.200%
5,2019,17.806,-1.190%
6,2018,18.020,-1.680%
7,2017,18.328,-1.650%
8,2016,18.636,-1.630%
9,2015,18.944,-1.600%
10,2014,19.252,-1.570%
11,2013,19.560,-3.210%
12,2012,20.209,-3.120%
13,2011,20.859,-3.020%
14,2010,21.508,-2.930%
15,2009,22.158,-2.850%
16,2008,22.807,-2.090%
17,2007,23.293,-2.040%
18,2006,23.779,-2.010%
19,2005,24.266,-1.960%
20,2004,24.752,-1.930%
21,2003,25.238,-1.810%
22,2002,25.704,-1.780%
23,2001,26.170,-1.750%
24,2000,26.635,-1.720%
25,1999,27.101,-1.690%
26,1998,27.567,-1.750%
27,1997,28.059,-1.720%
28,1996,28.551,-1.700%
29,1995,29.044,-1.670%
30,1994,29.536,-1.640%
31,1993,30.028,-1.950%
32,1992,30.624,-1.910%
33,1991,31.220,-1.880%
34,1990,31.817,-1.840%
35,1989,32.413,-1.810%
36,1988,33.009,-1.520%
37,1987,33.517,-1.490%
38,1986,34.025,-1.470%
39,1985,34.532,-1.450%
40,1984,35.040,-1.430%
41,1983,35.548,-0.620%
42,1982,35.771,-0.620%
43,1981,35.993,-0.620%
44,1980,36.216,-0.610%
45,1979,36.438,-0.610%
46,1978,36.661,-0.950%
47,1977,37.013,-0.940%
48,1976,37.366,-0.930%
49,1975,37.718,-0.930%
50,1974,38.071,-0.920%
51,1973,38.423,-0.700%
52,1972,38.692,-0.690%
53,1971,38.961,-0.690%
54,1970,39.231,-0.680%
55,1969,39.500,-0.680%
56,1968,39.769,-0.800%
57,1967,40.090,-0.790%
58,1966,40.410,-0.790%
59,1965,40.731,-0.780%
60,1964,41.051,-0.780%
61,1963,41.372,-0.560%
62,1962,41.603,-0.550%
63,1961,41.835,-0.550%
64,1960,42.066,-0.550%
65,1959,42.298,-0.540%
66,1958,42.529,-0.480%
67,1957,42.735,-0.480%
68,1956,42.941,-0.480%
69,1955,43.146,-0.480%
70,1954,43.352,-0.470%
71,1953,43.558,-0.470%
72,1952,43.764,-0.470%
73,1951,43.970,-0.460%
74,1950,44.175,0.000%
