,year,Death_Rate,Growth_Rate
0,2024,7.473,0.770%
1,2023,7.416,0.490%
2,2022,7.380,0.490%
3,2021,7.344,0.480%
4,2020,7.309,0.490%
5,2019,7.273,0.500%
6,2018,7.237,-0.070%
7,2017,7.242,-0.070%
8,2016,7.247,-0.080%
9,2015,7.253,-0.070%
10,2014,7.258,-0.070%
11,2013,7.263,-1.480%
12,2012,7.372,-1.440%
13,2011,7.480,-1.440%
14,2010,7.589,-1.400%
15,2009,7.697,-1.400%
16,2008,7.806,-1.440%
17,2007,7.920,-1.420%
18,2006,8.034,-1.390%
19,2005,8.147,-1.380%
20,2004,8.261,-1.360%
21,2003,8.375,-1.680%
22,2002,8.518,-1.650%
23,2001,8.661,-1.620%
24,2000,8.804,-1.600%
25,1999,8.947,-1.570%
26,1998,9.090,-2.320%
27,1997,9.306,-2.280%
28,1996,9.523,-2.220%
29,1995,9.739,-2.180%
30,1994,9.956,-2.120%
31,1993,10.172,-2.660%
32,1992,10.450,-2.600%
33,1991,10.729,-2.530%
34,1990,11.007,-2.470%
35,1989,11.286,-2.400%
36,1988,11.564,-1.880%
37,1987,11.786,-1.850%
38,1986,12.008,-1.810%
39,1985,12.229,-1.780%
40,1984,12.451,-1.750%
41,1983,12.673,-2.120%
42,1982,12.948,-2.080%
43,1981,13.223,-2.040%
44,1980,13.498,-2.000%
45,1979,13.773,-1.960%
46,1978,14.048,-2.820%
47,1977,14.455,-2.740%
48,1976,14.862,-2.670%
49,1975,15.269,-2.600%
50,1974,15.676,-2.530%
51,1973,16.083,-2.760%
52,1972,16.540,-2.690%
53,1971,16.997,-2.620%
54,1970,17.454,-2.550%
55,1969,17.911,-2.490%
56,1968,18.368,-2.660%
57,1967,18.870,-2.590%
58,1966,19.371,-2.530%
59,1965,19.873,-2.460%
60,1964,20.374,-2.400%
61,1963,20.876,-2.500%
62,1962,21.411,-2.440%
63,1961,21.946,-2.380%
64,1960,22.481,-2.320%
65,1959,23.016,-2.270%
66,1958,23.551,-2.390%
67,1957,24.127,-2.330%
68,1956,24.703,-2.280%
69,1955,25.280,-2.230%
70,1954,25.856,-2.180%
71,1953,26.432,-2.130%
72,1952,27.008,-2.090%
73,1951,27.584,-2.050%
74,1950,28.161,0.000%
