,year,Life_Expectancy
0,2024,70.62
1,2023,70.42
2,2022,70.19
3,2021,69.96
4,2020,69.73
5,2019,69.50
6,2018,69.27
7,2017,68.97
8,2016,68.67
9,2015,68.37
10,2014,68.07
11,2013,67.77
12,2012,67.32
13,2011,66.87
14,2010,66.43
15,2009,65.98
16,2008,65.53
17,2007,65.12
18,2006,64.72
19,2005,64.31
20,2004,63.91
21,2003,63.50
22,2002,63.09
23,2001,62.69
24,2000,62.28
25,1999,61.88
26,1998,61.47
27,1997,61.00
28,1996,60.53
29,1995,60.06
30,1994,59.59
31,1993,59.12
32,1992,58.63
33,1991,58.15
34,1990,57.66
35,1989,57.18
36,1988,56.69
37,1987,56.33
38,1986,55.98
39,1985,55.62
40,1984,55.27
41,1983,54.91
42,1982,54.43
43,1981,53.95
44,1980,53.47
45,1979,52.99
46,1978,52.51
47,1977,51.88
48,1976,51.25
49,1975,50.63
50,1974,50.00
51,1973,49.37
52,1972,48.72
53,1971,48.06
54,1970,47.41
55,1969,46.75
56,1968,46.10
57,1967,45.47
58,1966,44.84
59,1965,44.20
60,1964,43.57
61,1963,42.94
62,1962,42.34
63,1961,41.74
64,1960,41.13
65,1959,40.53
66,1958,39.93
67,1957,39.34
68,1956,38.75
69,1955,38.16
70,1954,37.57
71,1953,36.98
72,1952,36.39
73,1951,35.80
74,1950,35.21
